"ID","Player","Team","Position","Owner","Next Opponent","TFPts","TFP/G","Rostered %","+/- %","Date","Opponent","Score","Fantasy Points","Minutes Played","Goals","Assists (Official)","Assists (Second)","Key Passes (Assists on Shots)","Assists (Fantasy)","Shots on Target","Shots off the Post","Tackles Won","Dispossessed","Yellow Cards","Red Cards","Accurate Crosses","Accurate Crosses (No Corners)","Interceptions","Interceptions + Blocked Shots","Effective Clearances","Successful Dribbles (Contests Succeeded)","Blocked Crosses","Blocked Shots","Aerials Won","Penalty Kicks Missed","Penalty Kicks Drawn","Own Goals","Goals Against Outfielders ","Clean Sheets On Field"
"06znb","Robin Roefs","SUN","G","WCBFC","LEE Sun 7:00AM","208.5","12.26","81%","+1%","Dec 20","BHA","T 0-0","13","","0","","","0","","0","","0","0","0","0","","","0","","0","0","","","0","","","0","","1"
"06znb","Robin Roefs","SUN","G","WCBFC","LEE Sun 7:00AM","208.5","12.26","81%","+1%","Dec 14","NEW","W 1-0","15","","0","","","0","","0","","0","0","0","0","","","0","","1","0","","","1","","","0","","1"
"06znb","Robin Roefs","SUN","G","WCBFC","LEE Sun 7:00AM","208.5","12.26","81%","+1%","Dec 6","MCI","L 0-3","5","","0","","","0","","0","","0","0","0","0","","","0","","2","0","","","0","","","0","","0"
"06znb","Robin Roefs","SUN","G","WCBFC","LEE Sun 7:00AM","208.5","12.26","81%","+1%","Dec 3","LIV","T 1-1","17","","0","","","1","","0","","0","0","0","0","","","0","","0","0","","","3","","","0","","0"
"06znb","Robin Roefs","SUN","G","WCBFC","LEE Sun 7:00AM","208.5","12.26","81%","+1%","Nov 29","BOU","W 3-2","9.5","","0","","","0","","0","","0","0","1","0","","","0","","1","0","","","1","","","0","","0"
"06znb","Robin Roefs","SUN","G","WCBFC","LEE Sun 7:00AM","208.5","12.26","81%","+1%","Nov 22","FUL","L 0-1","11","","0","","","1","","0","","0","0","0","0","","","0","","1","0","","","1","","","0","","0"
"06znb","Robin Roefs","SUN","G","WCBFC","LEE Sun 7:00AM","208.5","12.26","81%","+1%","Nov 8","ARS","T 2-2","10.5","","0","","","0","","0","","0","0","0","0","","","0","","1","0","","","1","","","0","","0"
"06znb","Robin Roefs","SUN","G","WCBFC","LEE Sun 7:00AM","208.5","12.26","81%","+1%","Nov 3","EVE","T 1-1","3.5","","0","","","0","","0","","0","0","0","0","","","0","","0","0","","","0","","","0","","0"
"06znb","Robin Roefs","SUN","G","WCBFC","LEE Sun 7:00AM","208.5","12.26","81%","+1%","Oct 25","CHE","W 2-1","17.5","","0","","","0","","0","","0","0","0","0","","","0","","2","0","","","1","","","0","","0"
"06znb","Robin Roefs","SUN","G","WCBFC","LEE Sun 7:00AM","208.5","12.26","81%","+1%","Oct 18","WOL","W 2-0","13.5","","0","","","0","","0","","0","0","0","0","","","0","","0","0","","","0","","","0","","1"
"06znb","Robin Roefs","SUN","G","WCBFC","LEE Sun 7:00AM","208.5","12.26","81%","+1%","Oct 4","MUN","L 0-2","5.5","","0","","","0","","0","","0","0","0","0","","","0","","0","0","","","0","","","0","","0"
"06znb","Robin Roefs","SUN","G","WCBFC","LEE Sun 7:00AM","208.5","12.26","81%","+1%","Sep 27","NOT","W 1-0","27.5","","0","","","2","","0","","0","0","0","0","","","0","","1","0","","","1","","","0","","1"
"06znb","Robin Roefs","SUN","G","WCBFC","LEE Sun 7:00AM","208.5","12.26","81%","+1%","Sep 21","AVL","T 1-1","2.5","","0","","","0","","0","","0","0","0","0","","","0","","1","0","","","0","","","0","","0"
"06znb","Robin Roefs","SUN","G","WCBFC","LEE Sun 7:00AM","208.5","12.26","81%","+1%","Sep 13","CRY","T 0-0","23.5","","0","","","0","","0","","0","0","1","0","","","0","","1","0","","","2","","","0","","1"
"06znb","Robin Roefs","SUN","G","WCBFC","LEE Sun 7:00AM","208.5","12.26","81%","+1%","Aug 30","BRF","W 2-1","14.5","","0","","","0","","0","","0","0","0","0","","","0","","0","0","","","0","","","0","","0"
"06znb","Robin Roefs","SUN","G","WCBFC","LEE Sun 7:00AM","208.5","12.26","81%","+1%","Aug 23","BUR","L 0-2","-0.5","","0","","","0","","0","","0","0","0","0","","","0","","1","0","","","0","","","0","","0"
"06znb","Robin Roefs","SUN","G","WCBFC","LEE Sun 7:00AM","208.5","12.26","81%","+1%","Aug 16","WHU","W 3-0","20","","0","","","0","","0","","0","0","0","0","","","0","","3","0","","","2","","","0","","1"
"04yme","Robert Sanchez","CHE","G","Skyler","AVL Sat 10:30AM","159","9.35","93%","+2%","Dec 20","NEW","T 2-2","16","","0","","","1","","0","","0","0","1","0","","","0","","2","0","","","0","","","0","","0"
"04yme","Robert Sanchez","CHE","G","Skyler","AVL Sat 10:30AM","159","9.35","93%","+2%","Dec 13","EVE","W 2-0","15.5","","0","","","1","","0","","0","0","0","0","","","0","","1","0","","","0","","","0","","1"
"04yme","Robert Sanchez","CHE","G","Skyler","AVL Sat 10:30AM","159","9.35","93%","+2%","Dec 6","BOU","T 0-0","20.5","","0","","","0","","0","","0","0","0","0","","","0","","1","0","","","0","","","0","","1"
"04yme","Robert Sanchez","CHE","G","Skyler","AVL Sat 10:30AM","159","9.35","93%","+2%","Dec 3","LEE","L 1-3","4","","0","","","0","","0","","0","0","0","0","","","0","","2","0","","","0","","","0","","0"
"04yme","Robert Sanchez","CHE","G","Skyler","AVL Sat 10:30AM","159","9.35","93%","+2%","Nov 30","ARS","T 1-1","11","","0","","","1","","0","","0","0","0","0","","","0","","2","0","","","0","","","0","","0"
"04yme","Robert Sanchez","CHE","G","Skyler","AVL Sat 10:30AM","159","9.35","93%","+2%","Nov 22","BUR","W 2-0","11","","0","","","0","","0","","0","0","0","0","","","0","","0","0","","","0","","","0","","1"
"04yme","Robert Sanchez","CHE","G","Skyler","AVL Sat 10:30AM","159","9.35","93%","+2%","Nov 8","WOL","W 3-0","7.5","","0","","","0","","0","","0","0","0","0","","","0","","1","0","","","0","","","0","","1"
"04yme","Robert Sanchez","CHE","G","Skyler","AVL Sat 10:30AM","159","9.35","93%","+2%","Nov 1","TOT","W 1-0","17.5","","0","","","0","","0","","0","0","0","0","","","0","","1","0","","","3","","","0","","1"
"04yme","Robert Sanchez","CHE","G","Skyler","AVL Sat 10:30AM","159","9.35","93%","+2%","Oct 25","SUN","L 1-2","4.5","","0","","","0","","0","","0","0","0","0","","","0","","1","0","","","1","","","0","","0"
"04yme","Robert Sanchez","CHE","G","Skyler","AVL Sat 10:30AM","159","9.35","93%","+2%","Oct 18","NOT","W 3-0","12","","0","","","0","","0","","0","0","1","0","","","1","","0","0","","","0","","","0","","1"
"04yme","Robert Sanchez","CHE","G","Skyler","AVL Sat 10:30AM","159","9.35","93%","+2%","Oct 4","LIV","W 2-1","2.5","","0","","","0","","0","","0","0","0","0","","","0","","0","0","","","1","","","0","","0"
"04yme","Robert Sanchez","CHE","G","Skyler","AVL Sat 10:30AM","159","9.35","93%","+2%","Sep 27","BHA","L 1-3","6","","0","","","2","","0","","0","0","0","0","","","0","","0","0","","","1","","","0","","0"
"04yme","Robert Sanchez","CHE","G","Skyler","AVL Sat 10:30AM","159","9.35","93%","+2%","Sep 20","MUN","L 1-2","-4.5","","0","","","0","","0","","0","0","0","1","","","0","","0","0","","","0","","","0","","0"
"04yme","Robert Sanchez","CHE","G","Skyler","AVL Sat 10:30AM","159","9.35","93%","+2%","Sep 13","BRF","T 2-2","7.5","","0","","","0","","0","","0","0","0","0","","","0","","2","0","","","0","","","0","","0"
"04yme","Robert Sanchez","CHE","G","Skyler","AVL Sat 10:30AM","159","9.35","93%","+2%","Aug 30","FUL","W 2-0","7.5","","0","","","0","","0","","0","0","0","0","","","0","","0","0","","","0","","","0","","1"
"04yme","Robert Sanchez","CHE","G","Skyler","AVL Sat 10:30AM","159","9.35","93%","+2%","Aug 22","WHU","W 5-1","5.5","","0","","","0","","0","","0","0","0","0","","","0","","0","0","","","0","","","0","","0"
