"ID","Player","Team","Position","Owner","Next Opponent","TFPts","TFP/G","Rostered %","+/- %","Date","Opponent","Score","Fantasy Points","Minutes Played","Goals","Assists (Official)","Assists (Second)","Key Passes (Assists on Shots)","Assists (Fantasy)","Shots on Target","Shots off the Post","Tackles Won","Dispossessed","Yellow Cards","Red Cards","Accurate Crosses","Accurate Crosses (No Corners)","Interceptions","Interceptions + Blocked Shots","Effective Clearances","Successful Dribbles (Contests Succeeded)","Blocked Crosses","Blocked Shots","Aerials Won","Penalty Kicks Missed","Penalty Kicks Drawn","Own Goals","Goals Against Outfielders ","Clean Sheets On Field"
"061vq","Erling Haaland","MCI","F","WCBFC","@NOT Sat 5:30AM","360","21.18","100%","0%","Dec 20","WHU","W 3-0","36","90","2","1","0","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"061vq","Erling Haaland","MCI","F","WCBFC","@NOT Sat 5:30AM","360","21.18","100%","0%","Dec 14","CRY","W 3-0","29","88","2","0","0","0","0","2","0","2","2","0","0","0","0","0","0","3","0","0","0","3","0","0","0","0","1"
"061vq","Erling Haaland","MCI","F","WCBFC","@NOT Sat 5:30AM","360","21.18","100%","0%","Dec 6","SUN","W 3-0","5","68","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0","0","0","1","0","0","0","0","1"
"061vq","Erling Haaland","MCI","F","WCBFC","@NOT Sat 5:30AM","360","21.18","100%","0%","Dec 2","FUL","W 5-4","39","90","1","2","0","2","0","1","2","0","0","0","0","0","0","1","1","0","0","0","0","5","0","0","0","4","0"
"061vq","Erling Haaland","MCI","F","WCBFC","@NOT Sat 5:30AM","360","21.18","100%","0%","Nov 29","LEE","W 3-2","7","90","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","3","0","0","1","2","0","0","0","2","0"
"061vq","Erling Haaland","MCI","F","WCBFC","@NOT Sat 5:30AM","360","21.18","100%","0%","Nov 22","NEW","L 1-2","8","90","0","0","0","0","0","2","0","1","1","0","0","0","0","0","0","1","0","0","0","4","0","0","0","2","0"
"061vq","Erling Haaland","MCI","F","WCBFC","@NOT Sat 5:30AM","360","21.18","100%","0%","Nov 9","LIV","W 3-0","15","90","1","0","0","1","0","2","0","1","1","0","0","0","0","0","0","1","0","0","0","2","1","0","0","0","1"
"061vq","Erling Haaland","MCI","F","WCBFC","@NOT Sat 5:30AM","360","21.18","100%","0%","Nov 2","BOU","W 3-1","31.5","81","2","0","0","0","0","4","0","0","0","0","0","0","0","0","0","1","2","0","0","2","0","0","0","1","0"
"061vq","Erling Haaland","MCI","F","WCBFC","@NOT Sat 5:30AM","360","21.18","100%","0%","Oct 26","AVL","L 0-1","9","90","0","0","0","0","0","3","0","0","1","0","0","0","0","0","0","3","0","0","0","4","0","0","0","1","0"
"061vq","Erling Haaland","MCI","F","WCBFC","@NOT Sat 5:30AM","360","21.18","100%","0%","Oct 18","EVE","W 2-0","31","90","2","0","0","0","0","4","0","0","0","0","0","0","0","0","0","2","1","0","0","2","0","0","0","0","1"
